Te, B+0, B+1, B+2, B+3, B+4, B+5
1.0000e+00, 5.9094e-02, 9.4091e-01, 6.0991e-08, 1.8891e-21, 1.0000e-36, 1.0000e-36
1.0798e+00, 3.5155e-02, 9.6484e-01, 3.8416e-07, 1.9420e-19, 1.0000e-36, 1.0000e-36
1.1660e+00, 2.1095e-02, 9.7890e-01, 2.2606e-06, 1.7143e-17, 1.0000e-36, 1.0000e-36
1.2590e+00, 1.3073e-02, 9.8691e-01, 1.1786e-05, 1.1329e-15, 1.0000e-36, 1.0000e-36
1.3595e+00, 8.5101e-03, 9.9144e-01, 5.2309e-05, 5.0607e-14, 1.0000e-36, 1.0000e-36
1.4680e+00, 5.7893e-03, 9.9401e-01, 2.0096e-04, 1.5961e-12, 1.0000e-36, 1.0000e-36
1.5851e+00, 4.0700e-03, 9.9524e-01, 6.8889e-04, 3.8470e-11, 1.0000e-36, 1.0000e-36
1.7116e+00, 2.9266e-03, 9.9491e-01, 2.1606e-03, 7.5617e-10, 1.0000e-36, 1.0000e-36
1.8482e+00, 2.1425e-03, 9.9162e-01, 6.2406e-03, 1.2251e-08, 1.0000e-36, 1.0000e-36
1.9957e+00, 1.5889e-03, 9.8181e-01, 1.6599e-02, 1.6283e-07, 1.0000e-36, 1.0000e-36
2.1550e+00, 1.1825e-03, 9.5830e-01, 4.0514e-02, 1.7654e-06, 1.0000e-36, 1.0000e-36
2.3269e+00, 8.6859e-04, 9.0908e-01, 9.0040e-02, 1.5631e-05, 1.0000e-36, 1.0000e-36
2.5126e+00, 6.1430e-04, 8.1980e-01, 1.7947e-01, 1.1262e-04, 1.0000e-36, 1.0000e-36
2.7131e+00, 4.0643e-04, 6.8447e-01, 3.1447e-01, 6.5383e-04, 1.0000e-36, 1.0000e-36
2.9296e+00, 2.4659e-04, 5.1938e-01, 4.7734e-01, 3.0329e-03, 1.0000e-36, 1.0000e-36
3.1634e+00, 1.3713e-04, 3.5841e-01, 6.3011e-01, 1.1340e-02, 1.5744e-36, 1.0000e-36
3.4159e+00, 7.0881e-05, 2.2833e-01, 7.3661e-01, 3.4982e-02, 4.3925e-31, 1.0000e-36
3.6884e+00, 3.4413e-05, 1.3584e-01, 7.7337e-01, 9.0748e-02, 5.8968e-29, 1.0000e-36
3.9828e+00, 1.5586e-05, 7.5026e-02, 7.2666e-01, 1.9830e-01, 6.8642e-28, 1.0000e-36
4.3006e+00, 6.4610e-06, 3.7766e-02, 6.0130e-01, 3.6093e-01, 4.0609e-26, 1.0000e-36
4.6438e+00, 2.4343e-06, 1.7207e-02, 4.3607e-01, 5.4672e-01, 9.1708e-24, 1.0000e-36
5.0144e+00, 8.5262e-07, 7.2561e-03, 2.8397e-01, 7.0877e-01, 2.0891e-21, 1.0000e-36
5.4145e+00, 2.8920e-07, 2.9505e-03, 1.7332e-01, 8.2373e-01, 1.7408e-19, 1.0000e-36
