Te, C+0, C+1, C+2, C+3, C+4, C+5, C+6
1.0000e+00, 4.1340e-01, 5.8660e-01, 2.3945e-07, 2.3475e-24, 1.0000e-36, 1.0000e-36, 1.0000e-36
1.0798e+00, 2.2894e-01, 7.7106e-01, 1.7932e-06, 6.5042e-22, 1.0000e-36, 1.0000e-36, 1.0000e-36
1.1660e+00, 1.1726e-01, 8.8273e-01, 1.0506e-05, 1.0373e-19, 1.0000e-36, 1.0000e-36, 1.0000e-36
1.2590e+00, 5.9160e-02, 9.4079e-01, 5.1674e-05, 1.0538e-17, 1.0000e-36, 1.0000e-36, 1.0000e-36
1.3595e+00, 3.0421e-02, 9.6936e-01, 2.2247e-04, 7.3323e-16, 3.4224e-34, 1.0000e-36, 1.0000e-36
1.4680e+00, 1.6171e-02, 9.8297e-01, 8.5683e-04, 3.6829e-14, 6.3618e-31, 1.0000e-36, 1.0000e-36
1.5851e+00, 8.9188e-03, 9.8810e-01, 2.9854e-03, 1.3906e-12, 6.8161e-28, 1.0000e-36, 1.0000e-36
1.7116e+00, 5.0943e-03, 9.8545e-01, 9.4607e-03, 4.0288e-11, 4.3500e-25, 1.0000e-36, 1.0000e-36
1.8482e+00, 2.9902e-03, 9.6976e-01, 2.7248e-02, 9.0113e-10, 1.7017e-22, 1.0000e-36, 1.0000e-36
1.9957e+00, 1.7728e-03, 9.2763e-01, 7.0592e-02, 1.5509e-08, 4.1598e-20, 1.0000e-36, 1.0000e-36
2.1550e+00, 1.0294e-03, 8.3831e-01, 1.6066e-01, 2.0210e-07, 6.3842e-18, 1.0000e-36, 1.0000e-36
2.3269e+00, 5.6200e-04, 6.8878e-01, 3.1065e-01, 1.9497e-06, 6.0956e-16, 1.0000e-36, 1.0000e-36
2.5126e+00, 2.7993e-04, 5.0068e-01, 4.9903e-01, 1.3779e-05, 3.6233e-14, 1.0000e-36, 1.0000e-36
2.7131e+00, 1.2797e-04, 3.2476e-01, 6.7504e-01, 7.3175e-05, 1.3908e-12, 1.0000e-36, 1.0000e-36
2.9296e+00, 5.5720e-05, 1.9558e-01, 8.0405e-01, 3.0898e-04, 3.6892e-11, 1.0000e-36, 1.0000e-36
3.1634e+00, 2.4061e-05, 1.1417e-01, 8.8470e-01, 1.1008e-03, 7.2562e-10, 1.0000e-36, 1.0000e-36
3.4159e+00, 1.0594e-05, 6.6563e-02, 9.2998e-01, 3.4496e-03, 1.1130e-08, 1.0000e-36, 1.0000e-36
3.6884e+00, 4.8181e-06, 3.9335e-02, 9.5092e-01, 9.7349e-03, 1.3736e-07, 1.0000e-36, 1.0000e-36
3.9828e+00, 2.2656e-06, 2.3625e-02, 9.5135e-01, 2.5022e-02, 1.3904e-06, 1.0000e-36, 1.0000e-36
4.3006e+00, 1.0911e-06, 1.4311e-02, 9.2703e-01, 5.8643e-02, 1.1642e-05, 1.0000e-36, 1.0000e-36
4.6438e+00, 5.2769e-07, 8.5893e-03, 8.6714e-01, 1.2419e-01, 8.0538e-05, 1.0000e-36, 1.0000e-36
5.0144e+00, 2.4928e-07, 4.9769e-03, 7.6101e-01, 2.3356e-01, 4.5587e-04, 2.5741e-36, 1.0000e-36
5.4145e+00, 1.1186e-07, 2.7119e-03, 6.1216e-01, 3.8304e-01, 2.0880e-03, 5.6449e-33, 1.0000e-36
5.8466e+00, 4.7050e-08, 1.3725e-03, 4.4674e-01, 5.4416e-01, 7.7265e-03, 4.4812e-30, 1.0000e-36
6.3132e+00, 1.8659e-08, 6.4955e-04, 2.9832e-01, 6.7755e-01, 2.3482e-02, 1.5854e-27, 1.0000e-36
6.8170e+00, 7.0752e-09, 2.9175e-04, 1.8536e-01, 7.5427e-01, 6.0071e-02, 3.1023e-25, 1.0000e-36
7.3610e+00, 2.5823e-09, 1.2529e-04, 1.0817e-01, 7.6013e-01, 1.3158e-01, 4.0959e-23, 1.0000e-36
