Te, N+0, N+1, N+2, N+3, N+4, N+5, N+6, N+7
1.0000e+00, 8.0702e-01, 1.9298e-01, 2.3794e-10, 2.0856e-28, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
1.0798e+00, 5.8464e-01, 4.1536e-01, 4.0827e-09, 1.3203e-25, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
1.1660e+00, 3.3839e-01, 6.6161e-01, 4.5057e-08, 4.3038e-23, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
1.2590e+00, 1.6655e-01, 8.3344e-01, 3.4480e-07, 7.8180e-21, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
1.3595e+00, 7.7175e-02, 9.2282e-01, 2.0516e-06, 8.9082e-19, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
1.4680e+00, 3.5991e-02, 9.6400e-01, 1.0278e-05, 6.9210e-17, 5.4420e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
1.5851e+00, 1.7403e-02, 9.8255e-01, 4.5227e-05, 3.8417e-15, 1.2335e-32, 1.0000e-36, 1.0000e-36, 1.0000e-36
1.7116e+00, 8.8167e-03, 9.9100e-01, 1.7856e-04, 1.5718e-13, 1.5137e-29, 1.0000e-36, 1.0000e-36, 1.0000e-36
1.8482e+00, 4.6912e-03, 9.9467e-01, 6.3996e-04, 4.8606e-12, 1.0742e-26, 1.0000e-36, 1.0000e-36, 1.0000e-36
1.9957e+00, 2.6174e-03, 9.9528e-01, 2.0990e-03, 1.1604e-10, 4.6934e-24, 1.0000e-36, 1.0000e-36, 1.0000e-36
2.1550e+00, 1.5252e-03, 9.9214e-01, 6.3332e-03, 2.1783e-09, 1.3331e-21, 1.0000e-36, 1.0000e-36, 1.0000e-36
2.3269e+00, 9.2156e-04, 9.8149e-01, 1.7593e-02, 3.2604e-08, 2.5299e-19, 2.1701e-33, 1.0000e-36, 1.0000e-36
2.5126e+00, 5.7010e-04, 9.5465e-01, 4.4777e-02, 3.9226e-07, 3.2561e-17, 4.8143e-30, 1.0000e-36, 1.0000e-36
2.7131e+00, 3.5344e-04, 8.9665e-01, 1.0299e-01, 3.7906e-06, 2.8603e-15, 5.9751e-27, 1.0000e-36, 1.0000e-36
2.9296e+00, 2.1278e-04, 7.9068e-01, 2.0908e-01, 2.9107e-05, 1.7085e-13, 4.1582e-24, 1.0000e-36, 1.0000e-36
3.1634e+00, 1.2024e-04, 6.3485e-01, 3.6485e-01, 1.7517e-04, 6.8933e-12, 1.6225e-21, 1.0000e-36, 1.0000e-36
3.4159e+00, 6.2684e-05, 4.5753e-01, 5.4159e-01, 8.2413e-04, 1.8906e-10, 3.6110e-19, 1.0000e-36, 1.0000e-36
