Te, Ne+0, Ne+1, Ne+2, Ne+3, Ne+4, Ne+5, Ne+6, Ne+7, Ne+8, Ne+9, Ne+10
1.0000e+00, 9.9997e-01, 2.8886e-05, 3.7552e-19, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
1.0798e+00, 9.9986e-01, 1.4030e-04, 3.6229e-17, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
1.1660e+00, 9.9935e-01, 6.4584e-04, 2.6534e-15, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
1.2590e+00, 9.9722e-01, 2.7818e-03, 1.4890e-13, 9.8914e-34, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
1.3595e+00, 9.8897e-01, 1.1032e-02, 6.4415e-12, 1.4549e-30, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
1.4680e+00, 9.6076e-01, 3.9245e-02, 2.1399e-10, 1.4166e-27, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
1.5851e+00, 8.8058e-01, 1.1942e-01, 5.3157e-09, 9.0275e-25, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
1.7116e+00, 7.0903e-01, 2.9097e-01, 9.3274e-08, 3.5565e-22, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
1.8482e+00, 4.6556e-01, 5.3444e-01, 1.0910e-06, 8.1020e-20, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
1.9957e+00, 2.4931e-01, 7.5068e-01, 8.6477e-06, 1.0755e-17, 2.6173e-35, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
2.1550e+00, 1.1770e-01, 8.8225e-01, 5.0985e-05, 9.0597e-16, 7.1045e-32, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
2.3269e+00, 5.3276e-02, 9.4648e-01, 2.4553e-04, 5.3085e-14, 9.9085e-29, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
2.5126e+00, 2.4302e-02, 9.7467e-01, 1.0235e-03, 2.2917e-12, 7.8077e-26, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
2.7131e+00, 1.1412e-02, 9.8479e-01, 3.8031e-03, 7.5038e-11, 3.7152e-23, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
2.9296e+00, 5.5444e-03, 9.8169e-01, 1.2766e-02, 1.8877e-09, 1.1226e-20, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
3.1634e+00, 2.7654e-03, 9.5852e-01, 3.8711e-02, 3.6499e-08, 2.2331e-18, 3.6998e-34, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
3.4159e+00, 1.3811e-03, 8.9459e-01, 1.0402e-01, 5.3653e-07, 2.9403e-16, 1.1920e-30, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
3.6884e+00, 6.5904e-04, 7.6198e-01, 2.3736e-01, 5.8230e-06, 2.4992e-14, 1.9463e-27, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
3.9828e+00, 2.8488e-04, 5.6185e-01, 4.3782e-01, 4.5021e-05, 1.3287e-12, 1.5830e-24, 5.2568e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
4.3006e+00, 1.0993e-04, 3.5363e-01, 6.4602e-01, 2.4869e-04, 4.4499e-11, 6.5518e-22, 5.4828e-34, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
4.6438e+00, 3.9577e-05, 1.9866e-01, 8.0026e-01, 1.0440e-03, 1.0027e-09, 1.4952e-19, 4.9293e-32, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
5.0144e+00, 1.4160e-05, 1.0617e-01, 8.9021e-01, 3.6110e-03, 1.6548e-08, 2.0776e-17, 6.6952e-30, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
5.4145e+00, 5.2548e-06, 5.6406e-02, 9.3267e-01, 1.0918e-02, 2.1321e-07, 1.9010e-15, 2.0032e-27, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
5.8466e+00, 2.0500e-06, 3.0330e-02, 9.4005e-01, 2.9618e-02, 2.2143e-06, 1.2007e-13, 1.0310e-24, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36
6.3132e+00, 8.3342e-07, 1.6445e-02, 9.1122e-01, 7.2312e-02, 1.8709e-05, 5.3650e-12, 6.0892e-22, 2.6862e-34, 1.0000e-36, 1.0000e-36, 1.0000e-36
